Gemeinde,Sprachgebiet,Kanton,Bezirk,Artikel zur Gleichstellung von Mann und Frau,Konsumentenschutz-Artikel,Weiterführung der Finanzordnung,Revision des Strafgesetzes (Gewaltverbrechen),Ausländergesetz,Preisüberwachungs-Initiative,Gegenentwurf zur Preisüberwachungs-Initiative,Neuregelung der Treibstoffzölle,Energieartikel,Reform der Bürgerrechtsregelung in der Bundesverfassung,Bundesbeschluss über die Erleichterung gewisser Einbürgerungen,Einführung einer Schwerverkehrsabgabe,Einführung der Autobahnvignette,Zivildienst-Initiative,Initiative «gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht»,Initiative «Gegen den Ausverkauf der Heimat»,Initiative «für eine Zukunft ohne weitere Atomkraftwerke»,Initiative «für eine umweltgerechte Energieversorgung»,Initiative «für einen wirksamen Schutz der Mutterschaft»,Radio- und Fernsehartikel,Bundesbeschluss über die Entschädigung der Opfer von Gewaltverbrechen,Aufhebung der Bundesbeiträge für den Primarschulunterricht
Auswil,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,26.84563758,26.84563758,19.33333333,38.46153846,38.46153846,26.2295082,26.2295082,24.74916388,24.74916388,27.68729642,27.68729642,58.44155844,58.44155844,58.44155844,28.43137255,28.43137255,35.94771242,35.94771242,26.1589404,26.1589404,26.1589404,27
Bannwil,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,38.98305085,38.98305085,30.75117371,42.53393665,42.53393665,77.26269316,77.26269316,40.09009009,40.09009009,40.52863436,40.52863436,61.50442478,61.50442478,61.50442478,43.75,43.75,60.83150985,60.83150985,33.62637363,33.62637363,33.62637363,31.50984683
Bleienbach,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,26.84563758,26.84563758,23.80952381,40.54669704,40.54669704,25.28216704,25.28216704,30.45454546,30.45454546,33.93665158,33.93665158,54.86725664,54.86725664,54.86725664,37.19376392,37.19376392,38.58093126,38.58093126,30.04385965,30.04385965,30.04385965,24.29501085
Busswil bei Melchnau,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,45.77464789,45.77464789,37.14285714,58.33333333,58.33333333,37.41007194,37.41007194,42.10526316,42.10526316,48.14814815,48.14814815,63.23529412,63.23529412,63.23529412,46.51162791,46.51162791,48.8372093,48.8372093,40.15151515,40.15151515,40.15151515,40.29850746
Gondiswil,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,23.20441989,23.20441989,25.58983666,43.43065693,43.43065693,24.23146474,24.23146474,31.84257603,31.84257603,57.27272727,57.27272727,63.93442623,63.93442623,63.93442623,32.17550274,32.17550274,44.68864469,44.68864469,33.5174954,33.5174954,33.5174954,29.70479705
Langenthal,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,42.85556781,42.85556781,27.58997922,44.77014603,44.77014603,31.07501603,31.07501603,36.85388469,36.85388469,36.42105263,36.42105263,54.81699621,54.81699621,54.81699621,41.81856275,41.81856275,48.00292765,48.00292765,33.5431749,33.5431749,33.5431749,31.26501619
Lotzwil,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,41.13381674,41.13381674,24.78519498,40.3450564,40.3450564,39.69816273,39.69816273,27.90395847,27.90395847,32.3238973,32.3238973,55.76036866,55.76036866,55.76036866,38.57627119,38.57627119,45.92592593,45.92592593,28.94915254,28.94915254,28.94915254,27.84206944
Madiswil,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,37.27465536,37.27465536,26.45975802,46.25065548,46.25065548,46.73629243,46.73629243,31.45245559,31.45245559,34.33298863,34.33298863,58.77192983,58.77192983,58.77192983,36.99690403,36.99690403,46.04651163,46.04651163,31.09156751,31.09156751,31.09156751,30.35343035
Melchnau,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,34.44108761,34.44108761,27.76089159,43.81237525,43.81237525,66.40079761,66.40079761,30.5,30.5,32.44837758,32.44837758,56.94444444,56.94444444,56.94444444,40.07897335,40.07897335,43.63277394,43.63277394,31.59960746,31.59960746,31.59960746,29.87267385
Oeschenbach,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,25.25252525,25.25252525,19,41.53846154,41.53846154,20.81218274,20.81218274,19.89795918,19.89795918,27.86069652,27.86069652,44.94949495,44.94949495,44.94949495,25.88832487,25.88832487,38.19095477,38.19095477,19,19,19,27.5862069
Reisiswil,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,35.48387097,35.48387097,29.50819672,50,50,30.5785124,30.5785124,40.6504065,40.6504065,40.47619048,40.47619048,62.87878788,62.87878788,62.87878788,38.28125,38.28125,46.21212121,46.21212121,37.87878788,37.87878788,37.87878788,43.51145038
Roggwil (BE),Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,33.24035332,33.24035332,36.61453542,39.7512667,39.7512667,26.33027523,26.33027523,30.21549748,30.21549748,35.577798,35.577798,55.01133787,55.01133787,55.01133787,38.77917415,38.77917415,48.51485149,48.51485149,29.16853933,29.16853933,29.16853933,28.87796156
Rohrbach,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,28.36879433,28.36879433,57.02811245,37.14001986,37.14001986,58.49802372,58.49802372,24.5,24.5,58.47208619,58.47208619,63.60946746,63.60946746,63.60946746,34.99005964,34.99005964,50.44598613,50.44598613,25.64102564,25.64102564,25.64102564,25.91857001
Rohrbachgraben,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,27.39726027,27.39726027,26.17449664,48.32214765,48.32214765,27.21088435,27.21088435,27.14776632,27.14776632,29.31034483,29.31034483,63.13993174,63.13993174,63.13993174,34.91525424,34.91525424,46.8013468,46.8013468,33.89261745,33.89261745,33.89261745,27.86885246
Rütschelen,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,33.71428571,33.71428571,28.125,42.01680672,42.01680672,34.46327684,34.46327684,33.05322129,33.05322129,35.71428571,35.71428571,52.73775216,52.73775216,52.73775216,34.57142857,34.57142857,44.34782609,44.34782609,34.80662983,34.80662983,34.80662983,28.09917355
Schwarzhäusern,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,41.10032363,41.10032363,32.03883495,39.61038961,39.61038961,37.75510204,37.75510204,37.04918033,37.04918033,73.85620915,73.85620915,64.45182724,64.45182724,64.45182724,44.44444444,44.44444444,53.37620579,53.37620579,30.06535948,30.06535948,30.06535948,26.42140468
Thunstetten,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,32.73150845,32.73150845,57.89473684,37.81464531,37.81464531,24.5325779,24.5325779,30.54298643,30.54298643,29.29405225,29.29405225,54.30794886,54.30794886,54.30794886,36.7003367,36.7003367,48.23726917,48.23726917,27.69058296,27.69058296,27.69058296,28.77777778
Ursenbach,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,24.16534181,24.0063593,19.48881789,35.61208267,35.61208267,25.72347267,25.72347267,26.49434572,26.49434572,28.9514867,28.9514867,51.01088647,51.01088647,51.01088647,30.34901366,30.34901366,40.27355623,40.27355623,27.34254992,27.34254992,27.34254992,28.15384615
Wynau,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Oberaargau,59.68778696,59.68778696,23.96694215,41.73515982,41.73515982,26.67277727,26.67277727,30.09090909,30.09090909,30.88768116,30.88768116,54.18181818,54.18181818,54.18181818,37.11151737,37.11151737,40.4676259,40.4676259,25.7918552,25.7918552,25.7918552,26.89152233
Bern,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Bern-Mittelland,31.36934207,31.36934207,26.79825489,39.96797535,39.96797535,32.51532495,32.51532495,30.13093788,30.13093788,41.75294082,41.75294082,52.14508301,52.14508301,52.14508301,43.7376816,43.7376816,41.54901662,41.54901662,41.78096838,41.78096838,41.78096838,29.88673469
Bolligen,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Bern-Mittelland,27.59249224,27.59249224,24.49946803,39.1182982,39.1182982,26.87095422,26.87095422,38.10709838,38.10709838,58.58415603,58.58415603,65.40476191,65.40476191,65.40476191,52.18527316,52.18527316,51.59235669,51.59235669,42.45283019,42.45283019,42.45283019,38.35066163
Bremgarten bei Bern,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Bern-Mittelland,43.01215278,43.01215278,39.49072076,52.72572402,52.72572402,36.79525223,36.79525223,38.51725607,38.51725607,61.30252101,61.30252101,66.37608966,66.37608966,66.37608966,53.22047894,53.22047894,53.76078915,53.76078915,43.02087597,43.02087597,43.02087597,37.31942215
Kirchlindach,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Bern-Mittelland,39.44658945,39.44658945,34.5177665,48.09348094,48.09348094,33.45476624,33.45476624,37.6969697,37.6969697,49.46428571,49.46428571,63.83105295,63.83105295,63.83105295,52.55562237,52.55562237,52.07591934,52.07591934,43.05225653,43.05225653,43.05225653,36.58536585
Köniz,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Bern-Mittelland,33.51825571,33.51825571,40.9129839,41.66383557,41.66383557,32.81463961,32.81463961,34.42887263,34.42887263,45.93264459,45.93264459,55.79117114,55.79117114,55.79117114,45.76420968,45.76420968,44.11610984,44.11610984,39.65351299,39.65351299,39.65351299,34.40915982
Muri bei Bern,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Bern-Mittelland,37.61051652,37.61051652,31.68989748,45.30825023,45.30825023,37.47188484,37.47188484,37.10981361,37.10981361,57.05651931,57.05651931,62.84726096,62.84726096,62.84726096,50.62472111,50.62472111,51.64604507,51.64604507,50.74000442,50.74000442,50.74000442,44.05602117
Oberbalm,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Bern-Mittelland,26.8683274,26.8683274,25.13368984,41.74067496,41.74067496,24.51838879,24.51838879,31.58813264,31.58813264,46.02649007,46.02649007,57.5,57.5,57.5,52.35690236,52.35690236,47.47474748,47.47474748,34.7008547,34.7008547,34.7008547,41.09589041
Stettlen,Deutsches Sprachgebiet,Bern / Berne,Verwaltungskreis Bern-Mittelland,38.69007427,38.69007427,29.38856016,45.04391468,45.04391468,35.54473524,35.54473524,38.48484849,38.48484849,43.66529169,43.66529169,61.24486201,61.24486201,61.24486201,45.14252472,45.14252472,49.65075669,49.65075669,37.2334294,37.2334294,37.2334294,33.33333333
